,stat_id,station,address,lat,lng,household,num_cars,num_rest,traffic,avg_fast,avg_slow,nearby_neighbor
91,KP000732,대림동현대3차 아파트,서울특별시 영등포구 대림동 608-1,37.5062341681,126.8951526953,187020,2407,150,23611.0,5.394109890109888,11.912527472527469,12
92,KP002991,양평한신아파트,서울특별시 영등포구 양평동5가 76,37.54007118621,126.8920208623,187020,2407,247,12336.0,19.62230769230769,26.88026373626371,16
93,KP003266,대림운동장 공영주차장,서울특별시 영등포구 대림동 780,37.499068524,126.8942003346,187020,2407,245,14397.0,117.48248351648373,0.0,15
94,KP000530,영등포레미안 아파트,서울특별시 영등포구 신길동 4945,37.5049810409,126.9095268262,187020,2407,175,14938.0,8.409120879120877,16.39727472527471,7
95,KP000940,문래금호어울림 아파트,서울특별시 영등포구 문래동3가 97,37.5189841833,126.8981392781,187020,2407,507,12547.0,0.0,5.333274725274727,9
96,KP003610,문래건영아파트,서울특별시 영등포구 문래동3가 93-1,37.51827643829,126.8925386789,187020,2407,392,9008.0,0.0,2.082498168498168,14
97,KP004616,당산근린지하공영주차장,서울특별시 영등포구 당산로27길 12 (당산동3가),37.52551222,126.89576941,187020,2407,490,41355.0,19.829417582417587,0.0,22
98,KP005238,서울영등포우체국,"서울특별시 영등포구 선유동2로 6 (당산동4가, 서울영등포우체국)",37.52962614,126.8949565,187020,2407,325,41355.0,0.6540549450549449,0.0,19
99,KP005284,영등포구민회관,"서울특별시 영등포구 국회대로 596 (당산동3가, 영등포구민회관)",37.526142,126.900028,187020,2407,373,45926.0,1.7784395604395604,0.0,21
100,KP003683,신정동일하이빌아파트1단지,"서울특별시 양천구 신정로11길 20 (신정동, 동일하이빌아파트)",37.5107833089,126.8401934228,181404,996,15,32274.0,0.0,21.085010989010986,8
101,KP000702,방화5단지 아파트,서울특별시 강서구 방화동 금낭화로 287-19,37.5768026767,126.810285497,271175,1768,190,7172.0,19.04248351648352,8.581846153846152,20
102,KP003607,e편한세상염창,서울특별시 강서구 공항대로 583,37.54876208844,126.8703941578,271175,1768,124,7948.0,0.0,12.720421978021976,15
103,KP003182,신정이펜하우스 2단지,서울특별시 양천구 신정이펜2로 55,37.515688,126.830737,181404,996,67,22955.0,0.0,9.80435164835164,10
104,KP002883,목동 현대하이페리온2아파트,서울특별시 양천구 목동 961,37.52438967643,126.8700630152,181404,996,454,10035.0,10.72538461538462,26.76358974358976,23
105,KP000703,부영그린타운2차,서울특별시 양천구 목동 908-28,37.5363756323,126.8811258526,181404,996,89,74005.0,0.0,20.822956043956047,12
106,KP000699,마곡힐스테이트,서울특별시 강서구 마곡동 725-1,37.5646953177,126.8184339904,271175,1768,73,11103.0,10.714967032967031,23.11028571428572,23
107,KP000393,한국공항공사 서울,서울특별시 강서구 방화동 886,37.564959,126.794854,271175,1768,50,9761.0,98.58498901099009,0.0,1
108,KP002513,서울에너지공사 주차장,서울특별시 양천구 목동 900,37.5401156047,126.883763102,181404,996,40,10952.0,128.34542307692303,0.0,7
109,KP000698,마곡엠밸리3단지,서울특별시 강서구 마곡동 736,37.5685319217,126.819719606,271175,1768,289,38810.0,9.996857142857142,24.166978021978,28
