,stat_id,household,num_cars,num_rest,traffic,nearby_neighbor,avg_fast
65,KP001811,187020,2407,147,51795.0,8,2.7061538461538466
66,KP000020,187020,2407,145,37102.0,3,37.88495604395612
67,KP000731,187020,2407,424,12895.0,15,3.0655164835164825
68,MO115605,187020,2407,73,13095.0,9,6.9829010989011
69,KP000732,187020,2407,150,23611.0,12,5.394109890109888
70,KP002991,187020,2407,247,12336.0,16,19.62230769230769
71,KP003266,187020,2407,245,14397.0,15,117.48248351648373
72,KP000530,187020,2407,175,14938.0,7,8.409120879120877
73,KP004616,187020,2407,490,41355.0,22,19.829417582417587
74,KP005238,187020,2407,325,41355.0,19,0.6540549450549449
75,KP005284,187020,2407,373,45926.0,21,1.7784395604395604
76,KP000702,271175,1768,190,7172.0,20,19.04248351648352
77,KP002883,181404,996,454,10035.0,23,10.72538461538462
78,KP000699,271175,1768,73,11103.0,23,10.714967032967031
79,KP000393,271175,1768,50,9761.0,1,98.58498901099009
80,KP002513,181404,996,40,10952.0,7,128.34542307692303
81,KP000698,271175,1768,289,38810.0,28,9.996857142857142
82,KP002354,271175,1768,79,60478.0,17,1.7985714285714285
83,KP002691,181404,996,289,715.0,7,31.20784615384613
84,KP002353,271175,1768,177,5829.0,10,12.247186813186806
85,KP000930,181404,996,176,33061.0,18,1.9874065934065928
86,KP000709,271175,1768,260,10262.0,14,8.976945054945055
87,KP000695,271175,1768,62,5829.0,10,1.516945054945055
88,KP001269,271175,1768,211,37647.0,25,38.889912087912144
89,KP000017,181404,996,218,20855.0,18,87.63643956043958
90,KP002997,271175,1768,55,16131.0,6,25.3296263736264
91,KP000696,271175,1768,133,5829.0,11,13.782175824175823
92,KP000700,181404,996,132,31760.0,10,1.1217582417582417
93,KP000697,271175,1768,68,5829.0,11,2.257274725274725
94,KP002843,181404,996,40,29951.0,22,6.849868131868133
95,KP002510,181404,996,264,10262.0,8,77.18160439560432
96,KP000929,271175,1768,163,7172.0,20,3.458813186813187
97,KP003288,271175,1768,57,11103.0,22,19.391978021978016
98,PW012551,181404,996,5,32274.0,0,14.53081318681317
99,KP000707,181404,996,88,32274.0,13,7.749428571428569
100,KP002654,271175,1768,17,5829.0,8,5.098593406593404
101,KP002352,271175,1768,112,86397.0,13,2.7597802197802204
102,KP000928,181404,996,394,9151.0,24,1.3384395604395607
103,KP000708,271175,1768,70,11103.0,5,0.2984395604395605
104,KP002676,181404,996,17,22955.0,6,6.2368131868131895
105,KP004042,271175,1768,90,16131.0,23,34.484043956043934
106,KP004040,271175,1768,518,2358.0,18,9.435538461538458
107,KP004043,181404,996,0,21343.0,16,10.22789010989011
108,KP004053,181404,996,218,7948.0,11,45.95316483516481
109,KP004041,181404,996,415,5065.0,29,5.993010989010988
110,KP004627,271175,1768,50,6044.0,2,0.0892307692307692
111,KP004629,271175,1768,468,8019.0,11,47.36604395604396
112,KP005164,181404,996,97,15205.0,12,6.86225274725275
113,KP000936,276597,762,79,19848.0,7,32.48254945054943
114,KP002617,276597,762,160,2661.0,14,174.87334065934138
115,KP000714,184812,719,7,45346.0,14,20.67164835164836
116,KP000933,276597,762,336,33691.0,8,5.381846153846152
117,KP001272,276597,762,28,7285.0,7,21.84771428571428
118,KP000711,276597,762,141,22049.0,16,9.102065934065934
119,KP001274,184812,719,156,18149.0,7,16.36705494505494
120,KP000019,184812,719,246,47921.0,7,88.14404395604409
121,KP001277,184812,719,122,8567.0,9,13.160813186813192
122,KP001271,184812,719,84,10003.0,8,5.453824175824176
123,KP000710,276597,762,155,9089.0,7,35.516879120879146
124,KP000934,184812,719,22,10662.0,14,9.662813186813189
125,KP001273,184812,719,122,2661.0,13,17.98481318681319
126,KP001276,276597,762,165,7332.0,4,4.747032967032968
127,KP000712,184812,719,26,45346.0,9,7.649428571428573
128,KP001270,276597,762,240,9089.0,7,14.706857142857144
