,stat_id,household,num_cars,num_rest,traffic,nearby_neighbor,avg_slow
58,KP000021,187020,2407,417,12895.0,15,0.5827409733124019
59,KP001811,187020,2407,147,51795.0,8,12.702087912087912
60,KP000020,187020,2407,145,37102.0,3,1.9816758241758248
61,KP000731,187020,2407,424,12895.0,15,14.702747252747256
62,KP000018,187020,2407,255,12987.0,4,16.284461538461567
63,KP004050,187020,2407,137,10662.0,7,2.907412087912089
64,KP002661,187020,2407,196,10662.0,7,7.282087912087914
65,KP002273,187020,2407,118,10662.0,12,51.87584615384612
66,MO115605,187020,2407,73,13095.0,9,10.294945054945051
67,KP000732,187020,2407,150,23611.0,12,11.912527472527469
68,KP002991,187020,2407,247,12336.0,16,26.88026373626371
69,KP000530,187020,2407,175,14938.0,7,16.39727472527471
70,KP000940,187020,2407,507,12547.0,9,5.333274725274727
71,KP003610,187020,2407,392,9008.0,14,2.082498168498168
72,KP003683,181404,996,15,32274.0,8,21.085010989010986
73,KP000702,271175,1768,190,7172.0,20,8.581846153846152
74,KP003607,271175,1768,124,7948.0,15,12.720421978021976
75,KP003182,181404,996,67,22955.0,10,9.80435164835164
76,KP002883,181404,996,454,10035.0,23,26.76358974358976
77,KP000703,181404,996,89,74005.0,12,20.822956043956047
78,KP000699,271175,1768,73,11103.0,23,23.11028571428572
79,KP000698,271175,1768,289,38810.0,28,24.166978021978
80,KP002354,271175,1768,79,60478.0,17,7.533699633699624
81,KP002691,181404,996,289,715.0,7,44.30175824175821
82,KP002353,271175,1768,177,5829.0,10,22.5942857142857
83,KP000930,181404,996,176,33061.0,18,19.58624175824174
84,KP000695,271175,1768,62,5829.0,10,7.825032967032967
85,KP003606,271175,1768,159,5829.0,7,13.091648351648356
86,KP001269,271175,1768,211,37647.0,25,20.4175824175824
87,SF002069,271175,1768,260,38810.0,29,8.632358974358974
88,KP000017,181404,996,218,20855.0,18,2.157563579277866
89,KP002997,271175,1768,55,16131.0,6,35.04074725274724
90,KP000696,271175,1768,133,5829.0,11,29.212362637362617
91,KP000700,181404,996,132,31760.0,10,18.90745054945054
92,KP003203,271175,1768,54,16131.0,18,10.902307692307708
93,KP000697,271175,1768,68,5829.0,11,13.414021978021982
94,KP000707,181404,996,88,32274.0,13,21.01323076923076
95,KP002654,271175,1768,17,5829.0,8,16.426593406593415
96,KP002352,271175,1768,112,86397.0,13,5.803516483516485
